Departamento,Marca
Atlántico,Ford
Bolívar,Toyota
Antioquia,Toyota
Bolívar,Kia
Antioquia,Toyota
Atlántico,Ford
Antioquia,Chevrolet
Atlántico,Chevrolet
Antioquia,Mazda
Antioquia,Renault
Atlántico,Kia
Bolívar,Mazda
Bolívar,Chevrolet
Atlántico,Renault
Antioquia,Mazda
Bolívar,Toyota
Cundinamarca,Chevrolet
Bolívar,Chevrolet
Antioquia,Toyota
Atlántico,Chevrolet
Atlántico,Toyota
Antioquia,Renault
Antioquia,Renault
Antioquia,Renault
Bolívar,Chevrolet
Antioquia,Ford
Atlántico,Mazda
Atlántico,Toyota
Atlántico,Toyota
Atlántico,Renault
Vaupés,Ford
Atlántico,Toyota
Antioquia,Toyota
Antioquia,Kia
Antioquia,Mazda
Atlántico,Renault
Antioquia,Mazda
Antioquia,Ford
Antioquia,Kia
Antioquia,Mazda
Antioquia,Mazda
Antioquia,Toyota
Antioquia,Mazda
Atlántico,Toyota
Antioquia,Renault
Atlántico,Ford
Antioquia,Renault
Antioquia,Chevrolet
Antioquia,Chevrolet
Antioquia,Mazda
Antioquia,Mazda
Santander,Renault
Atlántico,Chevrolet
Antioquia,Kia
Antioquia,Mazda
Antioquia,Toyota
Antioquia,Chevrolet
Bolívar,Chevrolet
Antioquia,Chevrolet
Antioquia,Mazda
Atlántico,Ford
Antioquia,Toyota
Antioquia,Kia
Antioquia,Toyota
Atlántico,Ford
Antioquia,Chevrolet
Sucre,Renault
Antioquia,Ford
Atlántico,Mazda
Antioquia,Mazda
Antioquia,Renault
Antioquia,Renault
Atlántico,Mazda
Atlántico,Renault
Atlántico,Kia
Antioquia,Chevrolet
Antioquia,Kia
Antioquia,Renault
Antioquia,Toyota
Antioquia,Toyota
Antioquia,Kia
Cauca,Chevrolet
Antioquia,Chevrolet
Antioquia,Toyota
Antioquia,Chevrolet
Bolívar,Toyota
Antioquia,Toyota
Atlántico,Chevrolet
Antioquia,Ford
Antioquia,Kia
Atlántico,Kia
Arauca,Kia
Antioquia,Renault
Risaralda,Chevrolet
Antioquia,Toyota
Bolívar,Ford
Bolívar,Kia
Bolívar,Mazda
Antioquia,Toyota
Bolívar,Toyota